"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Progress in photovoltaics","Prog Photovolt","1062-7995","1099-159X","101661815"
"Journal of behavioral and social sciences (Cedarville, Ohio)","J Behav Soc Sci (Cedarv)","2375-8899","","101661834"
"Neurology, psychiatry, and brain research","Neurol Psychiatry Brain Res","0941-9500","2212-8581","9301300"
"Pratiques et organisation des soins","Prat Organ Soins","1952-9201","1961-9391","101304244"
"International journal of optomechatronics","Int J Optomechatronics","1559-9612","1559-9620","101304376"
"Interventional cardiology","Interv Cardiol (Lond)","1755-5302","1755-5310","101484999"
"Iranian journal of pathology","Iran J Pathol","1735-5303","2345-3656","101515128"
"Grass and forage science : the journal of the British Grassland Society","Grass Forage Sci","0142-5242","1365-2494","101661757"
"International journal for numerical and analytical methods in geomechanics","Int J Numer Anal Methods Geomech","0363-9061","1096-9853","101661763"
"International journal of climatology : a journal of the Royal Meteorological Society","Int J Climatol","0899-8418","1097-0088","101661767"
"Journal of business finance & accounting","J Bus Finance Account","0306-686X","1468-5957","101661769"
"Journal of geophysical research. Earth surface","J Geophys Res Earth Surf","2169-9003","2169-9011","101661774"
"Journal of geophysical research. Oceans","J Geophys Res Oceans","2169-9275","2169-9291","101661779"
"Chemical science transactions","Chem Sci Trans","2278-3458","2278-3318","101641880"
"Journal of Romanian literary studies [electronic resource]","J Rom Lit Stud","","2248-3004","101661869"
"Geochemistry, geophysics, geosystems : G(3)","Geochem Geophys Geosyst","","1525-2027","101661752"
"Journal of pharmaceutics","J Pharm (Cairo)","2090-9918","2090-7818","101655539"
"AI magazine","AI Mag","0738-4602","2371-9621","9882204"
"Human ethology bulletin","Hum Ethol Bull","2224-4468","2224-4476","101662143"
"Newsletters on stratigraphy","Newsl Stratigr","0078-0421","","101662147"
"Augmented environments for computer-assisted interventions : 9th International Workshop, AE-CAI 2014, held in conjunction with MICCAI 2014, Boston, MA, USA, September 14, 2014 : proceedings. AE-CAI (Workshop) (9th : 2014 : Boston, Mass.)","Augment Environ Comput Assist Interv (2014)","","","101662149"
"Physician leadership journal","Physician Leadersh J","2374-4030","2689-274X","101662218"
"Quarterly journal of the Royal Meteorological Society. Royal Meteorological Society (Great Britain)","Q J R Meteorol Soc","0035-9009","1477-870X","101661952"
"Space weather : the international journal of research & applications","Space Weather","","1542-7390","101661963"
"Theory of computing systems","Theory Comput Syst","1432-4350","1433-0490","101661967"
"BMJ open gastroenterology","BMJ Open Gastroenterol","","2054-4774","101660690"
"The Canadian journal of critical care nursing","Can J Crit Care Nurs","2368-8653","","101662534"
"Journal of animal science and technology","J Anim Sci Technol","","2055-0391","101661694"
"Iranian journal of veterinary research","Iran J Vet Res","1728-1997","2252-0589","101660030"
"Journal of experimental orthopaedics","J Exp Orthop","","2197-1153","101653750"
"SAGE open medical case reports","SAGE Open Med Case Rep","","2050-313X","101638686"
"Molecular and cellular pediatrics","Mol Cell Pediatr","","2194-7791","101660689"
"Applied Computational Electromagnetics Society journal","Appl Comput Electromagn Soc J","1054-4887","1943-5711","101662155"
"Mining engineering","Min Eng","0026-5187","","101662156"
"International journal of cancer and oncology","Int J Cancer Oncol","","2377-0902","101662205"
"Autoimmune diseases and therapeutic approaches : open access","Autoimmune Dis Ther Approaches","","2378-6337","101662533"
"Process safety and environmental protection : transactions of the Institution of Chemical Engineers, Part B","Process Saf Environ Prot","0957-5820","1744-3598","101662537"
"International journal of rock mechanics and mining sciences (Oxford, England : 1997)","Int J Rock Mech Min Sci (1997)","1365-1609","1873-4545","101662541"
"Anthropology of consciousness","Anthropol Conscious","1053-4202","1556-3537","101662300"
"Critical arts","Crit Arts","0256-0046","1992-6049","101662336"
"Annals of combinatorics","Ann Comb","0218-0006","0219-3094","101662355"
"The open psychology journal","Open Psychol J","","1874-3501","101662357"
"Gerontology & geriatric medicine","Gerontol Geriatr Med","","2333-7214","101662571"
"Proceedings of the ... International AAAI Conference on Weblogs and Social Media. International AAAI Conference on Weblogs and Social Media","Proc Int AAAI Conf Weblogs Soc Media","2162-3449","2334-0770","101662655"
"North African and Middle East epilepsy journal","North Afr Middle East Epilepsy J","","","101662117"
"Proceedings. Data Compression Conference","Proc Data Compress Conf","2375-0383","2375-0391","101662849"
"HT ... : the proceedings of the ... ACM Conference on Hypertext and Social Media. ACM Conference on Hypertext and Social Media","HT ACM Conf Hypertext Soc Media","","","101662863"
"Papillomavirus research (Amsterdam, Netherlands)","Papillomavirus Res","","2405-8521","101662552"
"Sports medicine - open","Sports Med Open","2199-1170","2198-9761","101662568"
"Revista brasileira de crescimento e desenvolvimento humano","Rev Bras Crescimento Desenvolv Hum","0104-1282","2175-3598","9440552"
"Communication yearbook","Commun Yearb","0147-4642","1556-7419","7801381"
"CURQ on the Web","CURQ Web","","","101662811"
"Applications of NMR spectroscopy","Appl NMR Spectrosc","2405-4674","2405-4682","101662829"
"Physics and chemistry of minerals","Phys Chem Miner","0342-1791","1432-2021","101662894"
"Biochemistry & physiology","Biochem Physiol","","2168-9652","101662783"
"Competition & change","Compet Change","1024-5294","1477-2221","101662785"
"International journal of heavy vehicle systems","Int J Heavy Veh Syst","1744-232X","1741-5152","101663066"
"Annals of clinical and laboratory research","Ann Clin Lab Res","","2386-5180","101663073"
"International journal of monitoring and surveillance technologies research","Int J Monit Surveill Technol Res","2166-7241","2166-725X","101662770"
"Journal of psychosocial rehabilitation and mental health","J Psychosoc Rehabil Ment Health","2198-9834","2198-963X","101662774"
"The Hong Kong journal of paediatrics : the journal of Hong Kong Paediatric Society = Hsiang-kang erh k'o i hsueh hui hui k'an","Hong Kong J Paediatr","1013-9923","2309-5393","8710416"
"IEEE transactions on multimedia","IEEE Trans Multimedia","1520-9210","1941-0077","101210915"
"Speech, language and hearing (London, England)","Speech Lang Hear","2050-571X","2050-5728","101633241"
"Journal of natural gas science and engineering","J Nat Gas Sci Eng","1875-5100","2212-3865","101663014"
"Journal of demographic economics","J Demogr Economics","2054-0892","2054-0906","101663061"
"Integrative obesity and diabetes","Integr Obes Diabetes","","2056-8827","101663070"
"Value in health regional issues","Value Health Reg Issues","2212-1099","2212-1102","101592642"
"Haptics : generating and perceiving tangible sensations : international conference, EuroHaptics 2010, Amsterdam, July 8-10, 2010 : proceedings. EuroHaptics 2010 (2010 : Amsterdam, Netherlands)","Haptics (2010)","","","101537781"
"European journal of archaeology","Eur J Archaeol","1461-9571","1741-2722","101662903"
"Systemic practice and action research","Syst Pract Action Res","1094-429X","1573-9295","101662904"
"Bollettino della societa paleontologica italiana. Societa paleontologica italiana","Boll Soc Paleontol Ital","0375-7633","","101662804"
"Forensic science review","Forensic Sci Rev","1042-7201","","9113730"
"International journal on communications antenna and propagation","Int J Commun Antenna Propag","2039-5086","","101663177"
"International journal of case reports and images","Int J Case Rep Imag","","0976-3198","101663254"
"The journal of international advanced otology","J Int Adv Otol","1308-7649","2148-3817","101522982"
"Hipertension y riesgo vascular","Hipertens Riesgo Vasc","1889-1837","1989-4805","101510649"
"Jacobs journal of AIDS/HIV","Jacobs J AIDS HIV","","","101663267"
"Marine and petroleum geology","Mar Pet Geol","0264-8172","1873-4073","9881605"
"Journal of social distress and the homeless","J Soc Distress Homeless","1053-0789","1573-658X","9515853"
"World journal of acupuncture-moxibustion","World J Acupunct Moxibustion","1003-5257","","9303005"
"International journal of mining and mineral engineering","Int J Min Miner Eng","1754-890X","1754-8918","101663514"
"JETP letters","JETP Lett","0021-3640","1090-6487","101663524"
"Journal of pharmaceutics & drug delivery research","J Pharm Drug Deliv Res","","2325-9604","101663557"
"Pneumonia (Nathan Qld.)","Pneumonia (Nathan)","","2200-6133","101663459"
"SLT ... : ... IEEE Workshop on Spoken Language Technology : proceedings. IEEE Workshop on Spoken Language Technology","SLT Workshop Spok Lang Technol","","","101663842"
"Journal of radioanalytical and nuclear chemistry","J Radioanal Nucl Chem","0236-5731","1588-2780","8406474"
"Journal of education for students placed at risk","J Educ Stud Placed Risk","1082-4669","1532-7671","101663812"
"ScienceOpen research","ScienceOpen Res","","2199-1006","101663829"
"Current trauma reports","Curr Trauma Rep","","2198-6096","101663913"
"International journal of intelligence science","Int J Intell Sci","2163-0283","2163-0356","101663918"
"Artificial intelligence and applications (Commerce, Calif.)","Artif Intell Appl","2374-4979","2374-4987","101663919"
"American journal of clinical cancer research","Am J Clin Cancer Res","","","101663929"
"Transactions of Society for Mining, Metallurgy, and Exploration, Inc","Trans Soc Min Metall Explor Inc","1075-8623","","101663964"
"Proceedings of COLING. International Conference on Computational Linguistics","Proc Int Conf Comput Ling","1525-2477","","101664036"
"International journal of neurorehabilitation","Int J Neurorehabil","","2376-0281","101664121"
"Politics, groups & identities","Polit Groups Identities","2156-5503","2156-5511","101664135"
"Journal of the Korean Society of Hypertension","J Korean Soc Hypertens","2233-8136","2233-8454","101664137"
"Journal of disease and global health","J Dis Glob Health","","2454-1842","101664146"
"Advanced health care technologies","Adv Health Care Technol","","2350-269X","101664162"
"International journal of child, youth & family studies : IJCYFS","Int J Child Youth Family Stud","","1920-7298","101664167"
"Forests","Forests","","1999-4907","101664454"
"Austin journal of surgery","Austin J Surg","","","101664444"
"Proceedings. International Conference on 3D Vision","Proc Int Conf 3D Vis","2378-3826","","101664450"
"Current climate change reports","Curr Clim Change Rep","","2198-6061","101663835"
"Journal of epidemiological research","J Epidemiol Res","2377-9306","2377-9330","101664538"
"British journal of applied science & technology","Br J Appl Sci Technol","","2231-0843","101664541"
"Bladder (San Francisco, Calif.)","Bladder (San Franc)","","2327-2120","101664418"
"Journal of nanotechnology and materials science","J Nanotechnol Mater Sci","","2377-1372","101664422"
"Austrian journal of earth sciences : an international journal of the Austrian Geological Society","Austrian J Earth Sci","","2072-7151","101664435"
"In silico cell and tissue science","In Silico Cell Tissue Sci","","2196-050X","101664455"
"EC microbiology","EC Microbiol","","","101664549"
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Adv Sci (Weinh)","","2198-3844","101664569"
"Computational particle mechanics","Comput Part Mech","2196-4378","2196-4386","101664671"
"Virus evolution","Virus Evol","","2057-1577","101664675"
"Political communication","Polit Commun","1058-4609","1091-7675","101664691"
"Abdominal imaging : computational and clinical applications : 6th International Workshop, ABDI 2014, held in conjunction with MICCAI 2014, Cambridge, MA, USA, September 14, 2014. ABDI (Workshop) (6th : 2014 : Cambridge, Mass.)","Abdom Imaging (2014)","","","101653734"
"Asia Oceania journal of nuclear medicine & biology","Asia Ocean J Nucl Med Biol","2322-5718","2322-5726","101611092"
"Cardiovascular pharmacology: open access","Cardiovasc Pharm Open Access","","2329-6607","101664844"
"Journal of dental health, oral disorders & therapy","J Dent Health Oral Disord Ther","","2373-4345","101664847"
"Jacobs journal of food and nutrition","Jacobs J Food Nutr","","2376-9211","101664851"
"Journal of environment and health sciences","J Environ Health Sci","","2378-6841","101664853"
"Jacobs journal of community medicine","Jacobs J Community Med","","","101664865"
"Journal of heart and cardiology","J Heart Cardiol","","2378-6914","101664923"
"Noise control engineering journal","Noise Control Eng J","0736-2501","2168-8710","101664929"
"Journal of the Australasian College of Road Safety","J Australas Coll Road Saf","1832-9497","","101664940"
"American journal of robotic surgery","Am J Robot Surg","2374-0612","2374-0620","101665037"
"International journal of mining, reclamation and environment","Int J Min Reclam Environ","1748-0930","1748-0949","101665038"
