AADE editors' journal	Aade Ed. J.	AADE Ed J
Facial plastic surgery & aesthetic medicine	Facial Plast. Surg. Aesthet. Med.	Facial Plast Surg Aesthet Med
Marshall journal of medicine	Marshall J. Med.	Marshall J Med
SIAM journal on discrete mathematics	Siam J. Discret. Math.	SIAM J Discret Math
Food and waterborne parasitology	Food Waterborne Parasitol.	Food Waterborne Parasitol
Technical innovations & patient support in radiation oncology	Tech. Innov. Patient Support Radiat. Oncol.	Tech Innov Patient Support Radiat Oncol
Advances in pharmacological and pharmaceutical sciences	Adv. Pharmacol. Pharm. Sci.	Adv Pharmacol Pharm Sci
Algorithms in bioinformatics : ... International Workshop, WABI ..., proceedings. WABI (Workshop)	Algorithms Bioinform.	Algorithms Bioinform
International journal of play	Int. J. Play	Int J Play
TRB ... annual meeting final program. National Academies of Sciences, Engineering, and Medicine (U.S.). Transportation Research Board. Annual Meeting	Trb Annu. Meet. Final Program	TRB Annu Meet Final Program
Biologia futura	Biol. Futur.	Biol Futur
Journal for general philosophy of science = Zeitschrift fur allgemeine Wissenschaftstheorie	J. Gen. Philos. Sci.	J Gen Philos Sci
IEEE Conference on Games 2019 : London, United Kingdom, 20-23 August 2019	Ieee Conf. Games 2019 2019	IEEE Conf Games 2019 (2019)
Journal of forest economics	J. For. Econ.	J For Econ
Journal of global economic analysis	J. Glob. Econ. Anal.	J Glob Econ Anal
Forest products journal	For. Prod. J.	For Prod J
Journal of shoulder and elbow arthroplasty	J. Shoulder Elb. Arthroplast.	J Shoulder Elb Arthroplast
Annals of health law and life sciences	Ann. Health Law Life Sci.	Ann Health Law Life Sci
Bioinformatics and Biomedical Engineering : 7th International Work-Conference, IWBBIO 2019, Granada, Spain, May 8-10, 2019, Proceedings, Parts I and II. IWBBIO (Conference) (7th : 2019 : Granada, Spain)	Bioinform. Biomed. Eng. 2019	Bioinform Biomed Eng (2019)
Journal of applied arts & health	J. Appl. Arts Health	J Appl Arts Health
Journal of frailty, sarcopenia and falls	J. Frailty Sarcopenia Falls	J Frailty Sarcopenia Falls
Medical case reports and short reviews	Med. Case Rep. Short Rev.	Med Case Rep Short Rev
Vascular biology (Bristol, England)	Vasc. Biol.	Vasc Biol
Infectious diseases diagnosis & treatment	Infect. Dis. Diagn. Treat.	Infect Dis Diagn Treat
International journal of nutrition, pharmacology, neurological diseases	Int. J. Nutr. Pharmacol. Neurol. Dis.	Int J Nutr Pharmacol Neurol Dis
International journal of basic and clinical immunology	Int. J. Basic Clin. Immunol.	Int J Basic Clin Immunol
SN applied sciences	Sn Appl. Sci.	SN Appl Sci
Aquaculture reports	Aquac. Rep.	Aquac Rep
African journal of environmental health sciences	Afr. J. Environ. Health Sci.	Afr J Environ Health Sci
Journal of photonics for energy	J. Photonics Energy	J Photonics Energy
Journal of terramechanics	J. Terramech.	J Terramech
Archives of rehabilitation research and clinical translation	Arch. Rehabil. Res. Clin. Transl.	Arch Rehabil Res Clin Transl
Canine medicine and genetics	Canine Med. Genet.	Canine Med Genet
Neurobiology of language (Cambridge, Mass.)	Neurobiol. Lang. Camb.	Neurobiol Lang (Camb)
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference	Annu. Int. Conf. Ieee Eng. Med. Biol. Soc.	Annu Int Conf IEEE Eng Med Biol Soc
Journal of the Middle East and Africa	J. Middle East Afr.	J Middle East Afr
Psych	Psych	Psych
Advanced research in gastroenterology & hepatology	Adv. Res. Gastroenterol. Hepatol.	Adv Res Gastroenterol Hepatol
Open access journal of translational medicine & research	Open Access J. Transl. Med. Res.	Open Access J Transl Med Res
Moving worlds	Mov. Worlds	Mov Worlds
Autism policy & practice	Autism Policy Pract.	Autism Policy Pract
CJC open	Cjc Open	CJC Open
Brain hemorrhages	Brain Hemorrhages	Brain Hemorrhages
JSES international	Jses Int.	JSES Int
Joint diseases and related surgery	Jt. Dis. Relat. Surg.	Jt Dis Relat Surg
Review of development economics	Rev. Dev. Econ.	Rev Dev Econ
International journal of technology and design education	Int. J. Technol. Des. Educ.	Int J Technol Des Educ
Swiss journal of geosciences	Swiss J. Geosci.	Swiss J Geosci
Geoscience letters	Geosci. Lett.	Geosci Lett
International journal of physiology	Int. J. Physiol.	Int J Physiol
HSOA journal of addiction & addictive disorders	Hsoa J. Addict. Addict. Disord.	HSOA J Addict Addict Disord
Global journal of pediatrics & neonatal care	Glob. J. Pediatr. Neonatal Care	Glob J Pediatr Neonatal Care
Educational assessment, evaluation and accountability	Educ. Assess. Eval. Account.	Educ Assess Eval Account
Aptamers (Oxford, England)	Aptamers Oxf.	Aptamers (Oxf)
SAE International journal of advances and current practices in mobility	Sae Int. J. Adv. Curr. Pract. Mobil.	SAE Int J Adv Curr Pract Mobil
Women health care and issues	Women Health Care Issues	Women Health Care Issues
Biophysicist (Rockville, Md.)	Biophysicist Rockv.	Biophysicist (Rockv)
IEEE transactions on biometrics, behavior, and identity science	Ieee Trans. Biom. Behav. Identity Sci.	IEEE Trans Biom Behav Identity Sci
International journal of clinical case reports and reviews : open access	Int. J. Clin. Case Rep. Rev.	Int J Clin Case Rep Rev
China population and development studies	China Popul. Dev. Stud.	China Popul Dev Stud
Results in mathematics	Results Math.	Results Math
World development perspectives	World Dev. Perspect.	World Dev Perspect
Biofilm	Biofilm	Biofilm
The Minor planet bulletin	Minor Planet Bull.	Minor Planet Bull
... IEEE International Conference on Computer Vision workshops. IEEE International Conference on Computer Vision	Ieee Int. Conf. Comput. Vis. Workshops	IEEE Int Conf Comput Vis Workshops
ACM transactions on embedded computing systems : TECS	Acm Trans. Embed. Comput. Syst.	ACM Trans Embed Comput Syst
PeerJ physical chemistry	Peerj Phys. Chem.	PeerJ Phys Chem
Teaching and learning in nursing : official journal of the National Organization for Assciate Degree Nursing	Teach. Learn. Nurs.	Teach Learn Nurs
International journal of bone marrow research	Int. J. Bone Marrow Res.	Int J Bone Marrow Res
Bollettino della Unione matematica italiana (2008)	Boll. Unione Mat. Ital. 2008	Boll Unione Mat Ital (2008)
Discrete event dynamic systems	Discret. Event Dyn. Syst.	Discret Event Dyn Syst
Journal of agribusiness in developing and emerging economies	J. Agribus. Dev. Emerg. Econ.	J Agribus Dev Emerg Econ
Utilities policy	Util. Policy	Util Policy
Midwest studies in philosophy	Midwest Stud. Philos.	Midwest Stud Philos
Archives of hematology and blood diseases	Arch. Hematol. Blood Dis.	Arch Hematol Blood Dis
International journal of latest trends in engineering & technology : IJLTET	Int. J. Latest Trends Eng. Technol.	Int J Latest Trends Eng Technol
Implementation science communications	Implement. Sci. Commun.	Implement Sci Commun
Studia linguistica	Stud. Linguist.	Stud Linguist
International journal of orthopedics	Int. J. Orthop.	Int J Orthop
Artificial intelligence and law	Artif. Intell. Law Dordr.	Artif Intell Law (Dordr)
Journal of the American College of Emergency Physicians open	J. Am. Coll. Emerg. Physicians Open	J Am Coll Emerg Physicians Open
Zeitschrift fur sportpsychologie	Z. Sportpsychol.	Z Sportpsychol
Blood cancer discovery	Blood Cancer Discov.	Blood Cancer Discov
Molecular Frontiers journal	Mol. Front. J.	Mol Front J
Transactions of the annual meeting of the Orthopaedic Research Society. Orthopaedic Research Society	Trans. Annu. Meet. Orthop. Res. Soc.	Trans Annu Meet Orthop Res Soc
Journal of rheumatology research	J. Rheumatol. Res.	J Rheumatol Res
European journal of cultural and political sociology	Eur. J. Cult. Polit. Sociol.	Eur J Cult Polit Sociol
Journal of grid computing	J. Grid Comput.	J Grid Comput
Annales Henri Poincare	Ann. Henri Poincare	Ann Henri Poincare
East African agricultural and forestry journal	East Afri. Agric. For. J.	East Afri Agric For J
BMJ surgery, interventions, & health technologies	Bmj Surg. Interv. Health Technol.	BMJ Surg Interv Health Technol
Juniper online journal material science	Juniper Online J. Mater. Sci.	Juniper Online J Mater Sci
Biologine psichiatrija ir psichofarmakologija = Biological psychiatry and psychopharmacology	Biol. Psichiatr. Psichofarmakol.	Biol Psichiatr Psichofarmakol
JBI evidence synthesis	Jbi Evid. Synth.	JBI Evid Synth
Forensic medicine and anatomy research	Forensic Med. Anat. Res.	Forensic Med Anat Res
Journal of cluster science	J. Clust. Sci.	J Clust Sci
Critical studies on security	Crit. Stud. Secur.	Crit Stud Secur
Intensivmedizin + Notfallmedizin : Organ der Deutschen und der Osterreichischen Gesellschaft fur internistische Intensivmedizin, der Sektion Neurologie der DGIM und der Sektion Intensivmedizin im Berufsverband Deutscher Internisten e.V	Intensivmed. Notfallmed.	Intensivmed Notfallmed
Trauma und Berufskrankheit	Trauma Berufskrankh.	Trauma Berufskrankh
Biochemistry (Moscow) Supplement. Series B, Biomedical chemistry	Biochem. Mosc. Suppl. B Biomed. Chem.	Biochem Mosc Suppl B Biomed Chem
Wiener klinische Wochenschrift. Education	Wien. Klin. Wochenschr. Educ.	Wien Klin Wochenschr Educ
Critical care (Houten, Netherlands)	Crit. Care Houten	Crit Care (Houten)
Der nephrologe	Nephrologe	Nephrologe
Der Gastroenterologe : Zeitschrift fur Gastroenterologie und Hepatologie	Gastroenterologe	Gastroenterologe
Journal of hand surgery global online	J. Hand Surg. Glob. Online	J Hand Surg Glob Online
Journal of the American Academy of Special Education Professionals	J. Am. Acad. Spec. Educ. Prof.	J Am Acad Spec Educ Prof
BJUI compass	Bjui Compass	BJUI Compass
Chinese journal of geochemistry = Di qiu hua xue	Chin. J. Geochem.	Chin J Geochem
Communications materials	Commun. Mater.	Commun Mater
Journal of research in applied sciences	J. Res. Appl. Sci.	J Res Appl Sci
Environment systems & decisions	Environ. Syst. Decis.	Environ Syst Decis
Turkiye klinikleri. Immunoloji alerji	Turk. Klin. Immunol. Alerji	Turk Klin Immunol Alerji
Neurological disorders & epilepsy journal	Neurol. Disord. Epilepsy J.	Neurol Disord Epilepsy J
Health education and care	Health Educ. Care	Health Educ Care
Journal of anesthetic research and pain medicine	J. Anesth. Res. Pain Med.	J Anesth Res Pain Med
Science China. Earth sciences	Sci. China Earth Sci.	Sci China Earth Sci
Perspectives in drug discovery and design : PD3	Perspect. Drug Discov. Des.	Perspect Drug Discov Des
Medisch-farmaceutische mededelingen	Med. Farm. Meded.	Med Farm Meded
Journal of surgical oncology (Tallinn, Estonia)	J. Surg. Oncol. Tallinn	J Surg Oncol (Tallinn)
Advances in social sciences research journal	Adv. Soc. Sci. Res. J.	Adv Soc Sci Res J
Austin journal of anesthesia and analgesia	Austin J. Anesth. Analg.	Austin J Anesth Analg
Journal of systems science and systems engineering	J. Syst. Sci. Syst. Eng.	J Syst Sci Syst Eng
Archives of depression and anxiety	Arch. Depress. Anxiety	Arch Depress Anxiety
Journal of clinical anesthesia and management	J. Clin. Anesth. Manag.	J Clin Anesth Manag
Bijblijven (Amsterdam, Netherlands)	Bijblijven Amst.	Bijblijven (Amst)
Russian journal of general chemistry	Russ. J. Gen. Chem.	Russ J Gen Chem
Promed komplementar	Promed Komplement.	Promed Komplement
Phytotherapie (Paris, France)	Phytotherapie Paris	Phytotherapie (Paris)
Flexible services and manufacturing journal	Flex. Serv. Manuf. J.	Flex Serv Manuf J
International environmental agreements : politics, law and economics	Int. Environ. Agreem.	Int Environ Agreem
Journal of the British Academy	J. Br. Acad.	J Br Acad
Asia Europe journal	Asia Eur. J.	Asia Eur J
Psychosomatik und Konsiliarpsychiatrie	Psychosom. Konsiliarpsychiatr.	Psychosom Konsiliarpsychiatr
HNO-Nachrichten	Hno Nachr.	HNO Nachr
Wiener klinisches Magazin : Beilage zur Wiener klinischen Wochenschrift	Wien. Klin. Mag.	Wien Klin Mag
Science & education	Sci. Educ. Dordr.	Sci Educ (Dordr)
Applied mathematics and mechanics	Appl. Math. Mech.	Appl Math Mech
Forschung im ingenieurwesen	Forsch. Ingenieurwes.	Forsch Ingenieurwes
Networks and spatial economics	Netw. Spat. Econ.	Netw Spat Econ
Journal of economic interaction and coordination	J. Econ. Interact. Coord.	J Econ Interact Coord
Science China. Technological sciences	Sci. China Technol. Sci.	Sci China Technol Sci
International journal of information technology : an official journal of Bharati Vidyapeeth's Institute of Computer Applications and Management	Int. J. Inf. Technol.	Int J Inf Technol
Herald of the Russian Academy of Sciences	Her. Russ. Acad. Sci.	Her Russ Acad Sci
Frontiers of chemistry in China : selected publications from Chinese universities	Front. Chem. China	Front Chem China
Science China. Physics, mechanics & astronomy	Sci. China Phys. Mech. Astron.	Sci China Phys Mech Astron
Acta mathematica scientia = Shu xue wu li xue bao	Acta Math. Sci.	Acta Math Sci
Tandartspraktijk	Tandartspraktijk	Tandartspraktijk
Journal of Chinese political science	J. Chin. Polit. Sci.	J Chin Polit Sci
Frontiers of biology in China : selected publications from Chinese universities	Front. Biol. China	Front Biol China
Journal of Central South University	J. Cent. South Univ.	J Cent South Univ
SciMedicine journal	Scimed. J.	SciMed J
Frontiers of physics in China	Front. Phys. China	Front Phys China
Experimental and computational multiphase flow	Exp. Comput. Multiph. Flow	Exp Comput Multiph Flow
The Lancet. Rheumatology	Lancet Rheumatol.	Lancet Rheumatol
Tijdschrift voor bedrijfs- en verzekeringsgeneeskunde	Tijdschr. Bedr. Verzekeringsgeneeskd.	Tijdschr Bedr Verzekeringsgeneeskd
CME (Berlin, Germany)	Cme Berl.	CME (Berl)
Journal of Wuhan University of Technology. Materials science edition	J. Wuhan Univ. Technol. Mater. Sci. Ed.	J Wuhan Univ Technol Mater Sci Ed
Journal of Shanghai University	J. Shanghai Univ.	J Shanghai Univ
Lettera matematica pristem	Lett. Mat. Pristem	Lett Mat Pristem
American journal of biomedical science & research	Am. J. Biomed. Sci. Res.	Am J Biomed Sci Res
Procare : das forbildungsmagazin fur pflegeberufe	Procare	Procare
Les cahiers de L'annee gerontologique	Cah. Annee. Gerontol.	Cah Annee Gerontol
IJU case reports	Iju Case Rep.	IJU Case Rep
Reanimation : journal de la Societe de reanimation de langue francaise	Reanimation	Reanimation
Arthroscopy, sports medicine, and rehabilitation	Arthrosc. Sports Med. Rehabil.	Arthrosc Sports Med Rehabil
KN - journal of cartography and geographic information	Kn J. Cartogr. Geogr. Inf.	KN J Cartogr Geogr Inf
Radiology. Imaging cancer	Radiol. Imaging Cancer	Radiol Imaging Cancer
Journal of Shanghai Jiaotong University (science)	J. Shanghai Jiaotong Univ. Sci.	J Shanghai Jiaotong Univ Sci
JAC-antimicrobial resistance	Jac Antimicrob. Resist.	JAC Antimicrob Resist
Therapeutic advances in reproductive health	Ther. Adv. Reprod. Health	Ther Adv Reprod Health
Urology times	Urol. Times	Urol Times
Optometry & visual performance	Optom. Vis. Perform.	Optom Vis Perform
Journal of clinical ophthalmology & eye disorders	J. Clin. Ophthalmol. Eye Disord.	J Clin Ophthalmol Eye Disord
Exploration of medicine	Explor. Med.	Explor Med
International journal of applied and computational mathematics	Int. J. Appl. Comput. Math.	Int J Appl Comput Math
International journal of dynamics and control	Int. J. Dyn. Control	Int J Dyn Control
Zorg + welzijn	Zorg Welz.	Zorg Welz
Drug investigation	Drug Investig.	Drug Investig
Forensic science & addiction research	Forensic Sci. Addict. Res.	Forensic Sci Addict Res
Frontiers of computer science in China	Front. Comput. Sci. China	Front Comput Sci China
Frontiers of computer science	Front. Comput. Sci.	Front Comput Sci
Current tissue microenvironment reports	Curr. Tissue Microenviron. Rep.	Curr Tissue Microenviron Rep
Pharmaceutical & diagnostic innovation	Pharm. Diagn. Innov.	Pharm Diagn Innov
ACI open	Aci Open	ACI open
Open journal of social sciences	Open J. Soc. Sci.	Open J Soc Sci
Revue francophone des laboratoires : RFL	Rev. Francoph. Lab.	Rev Francoph Lab
